CustomerID,Evaluation Date,Max Visit Date,Count of Visits,Watch_Duration (mins),Recency,Recency Scale,Frequency Scale,Monetary Scale,RFM Segment,Preference_Content_Type,Age,Gender,Segments,GenderSegment
C001,09/01/2024,8/26/2024,8,2274,6,1,1,1,111,TV Shows,23,Female,Hibernating,111Female
C002,09/01/2024,8/29/2024,54,13973,3,2,3,3,233,Movies,21,Male,Champions,233Male
C003,09/01/2024,8/30/2024,17,6668.5,2,2,2,2,222,Movies,29,Male,Promising,222Male
C004,09/01/2024,8/30/2024,45,13926,2,2,2,3,223,Movies,28,Male,Loyal Customers,223Male
C005,09/01/2024,8/30/2024,31,10445,2,2,2,2,222,Sports,24,Male,Promising,222Male
C006,09/01/2024,8/31/2024,29,10276.25,1,3,2,2,322,Sports,34,Male,Potential Loyalists,322Male
C007,09/01/2024,8/31/2024,51,13263,1,3,3,2,332,Movies,24,Male,Loyal Customers,332Male
C008,09/01/2024,8/31/2024,14,4663,1,3,1,1,311,Sports,20,Male,New Users,311Male
C009,09/01/2024,8/29/2024,10,3133,3,2,1,1,211,TV Shows,26,Female,New Users,211Female
C010,09/01/2024,8/30/2024,19,5673.5,2,2,2,2,222,Sports,21,Male,Promising,222Male
C011,09/01/2024,8/26/2024,6,2273,6,1,1,1,111,Sports,29,Male,Hibernating,111Male
C012,09/01/2024,8/28/2024,19,6232.5,4,2,2,2,222,Movies,28,Male,Promising,222Male
C013,09/01/2024,8/28/2024,14,5839,4,2,1,2,212,Movies,25,Female,Promising,212Female
C014,09/01/2024,8/29/2024,31,7317,3,2,2,2,222,TV Shows,22,Female,Promising,222Female
C015,09/01/2024,8/30/2024,34,10040.75,2,2,2,2,222,Sports,33,Male,Promising,222Male
C016,09/01/2024,8/28/2024,15,4386.5,4,2,1,1,211,TV Shows,24,Female,New Users,211Female
C017,09/01/2024,8/27/2024,17,5841.75,5,1,2,2,122,Sports,28,Male,At Risk,122Male
