Groups,Segments,GenderSegment,Message Type,Message
Champions,333,333Male,"Reward, New Product Launches, Call From Support, Feedback, Ask For Video Reviews, Testimonials, Grooming Stories","Hey [Customer Name], You’re our champion! To celebrate your passion for sports, we've got something special just for you—exclusive access to Indian Football league content for only ₹49. Don’t miss out on this amazing deal and more of your favorite sports!"
Champions,233,233Male,"Reward, New Product Launches, Call From Support, Feedback, Ask For Video Reviews, Grooming Stories","Hey [Customer Name], You’re our champion! To celebrate your passion for sports, we've got something special just for you—exclusive access to Indian Football league content for only ₹49. Don’t miss out on this amazing deal and more of your favorite sports!"
Loyal Customers,332,332Male,"Upsell Higher Value, Loyalty Program","Hey [Customer Name], You’re one of our most dedicated viewers! As a token of our appreciation, we’ve got something special just for you—exclusive early access to ""Champions League Twenty20"", the latest sports docuseries that takes you behind the scenes of the greatest moments in sports history. Don't miss out on the action!"
Loyal Customers,331,331Male,"Upsell Higher Value, Loyalty Program","Hey [Customer Name], You’re one of our most dedicated viewers! As a token of our appreciation, we’ve got something special just for you—exclusive early access to ""Champions League Twenty20"", the latest sports docuseries that takes you behind the scenes of the greatest moments in sports history. Don't miss out on the action!"
Loyal Customers,223,223Male,"Upsell Higher Value, Loyalty Program","Hey [Customer Name], You’re one of our most dedicated viewers! As a token of our appreciation, we’ve got something special just for you—exclusive early access to ""Champions League Twenty20"", the latest sports docuseries that takes you behind the scenes of the greatest moments in sports history. Don't miss out on the action!"
Loyal Customers,323,323Male,"Upsell Higher Value, Loyalty Program","Hey [Customer Name], You’re one of our most dedicated viewers! As a token of our appreciation, we’ve got something special just for you—exclusive early access to ""Champions League Twenty20"", the latest sports docuseries that takes you behind the scenes of the greatest moments in sports history. Don't miss out on the action!"
Potential Loyalists,322,322Male,"Membership, Loyalty Program, Contests, Good Discount On Repeat","Hey [Customer Name], Exciting news! Join our community and get exclusive discounts on subscriptions and sports merchandise. Don't miss out—sign up today!"
Potential Loyalists,232,232Male,"Membership, Loyalty Program, Contests, Good Discount On Repeat","Hey [Customer Name], Exciting news! Join our community and get exclusive discounts on subscriptions and sports merchandise. Don't miss out—sign up today!"
Potential Loyalists,231,231Male,"Membership, Loyalty Program, Contests, Good Discount On Repeat","Hey [Customer Name], Exciting news! Join our community and get exclusive discounts on subscriptions and sports merchandise. Don't miss out—sign up today!"
Promising,221,221Male,"Discount For Next Purchase, Aggressive Targeting","Hey [Customer Name], you're just getting started and we love it! There’s a world of exciting new content waiting for you. Dive in and enjoy the action!"
Promising,321,321Male,"Discount For Next Purchase, Aggressive Targeting","Hey [Customer Name], you're just getting started and we love it! There’s a world of exciting new content waiting for you. Dive in and enjoy the action!"
Promising,313,313Male,"Discount For Next Purchase, Aggressive Targeting","Hey [Customer Name], you're just getting started and we love it! There’s a world of exciting new content waiting for you. Dive in and enjoy the action!"
Promising,312,312Male,"Discount For Next Purchase, Aggressive Targeting","Hey [Customer Name], you're just getting started and we love it! There’s a world of exciting new content waiting for you. Dive in and enjoy the action!"
Promising,222,222Male,"Discount For Next Purchase, Aggressive Targeting","Hey [Customer Name], you're just getting started and we love it! There’s a world of exciting new content waiting for you. Dive in and enjoy the action!"
Promising,213,213Male,"Discount For Next Purchase, Aggressive Targeting","Hey [Customer Name], you're just getting started and we love it! There’s a world of exciting new content waiting for you. Dive in and enjoy the action!"
Promising,212,212Male,"Discount For Next Purchase, Aggressive Targeting","Hey [Customer Name], you're just getting started and we love it! There’s a world of exciting new content waiting for you. Dive in and enjoy the action!"
New Users,311,311Male,Low Ticket + Impulsive + Bestseller,"Hey [Customer Name], welcome to the family! Get started with some action-packed, high-energy content we’ve picked just for you. Your journey with us is only beginning!"
New Users,211,211Male,Low Ticket + Impulsive + Bestseller,"Hey [Customer Name], welcome to the family! Get started with some action-packed, high-energy content we’ve picked just for you. Your journey with us is only beginning!"
At Risk,131,131Male,"New Arrivals, More Like Since You Gone","Hey [Customer Name], it looks like you’ve been away for a while. We’ve got some fresh new content to pull you back in—action, adventure, and excitement await. Don’t miss out!"
